depth,method,dataset,seed,balanced_accuracy
3,DL85,heart-statlog,2,0.6644460028050492
3,DL85,heart-statlog,3,0.7240532959326789
3,DL85,heart-statlog,4,0.6805750350631137
3,DL85,liver,0,0.6203860934846724
3,DL85,liver,1,0.6042541782107427
3,DL85,liver,2,0.5773527571722227
3,DL85,liver,3,0.6383501653409599
3,DL85,liver,4,0.55188131200286
3,DL85,vehicle,0,0.9350147100692796
3,DL85,vehicle,1,0.9259276834013477
3,DL85,vehicle,2,0.9381228053525672
3,DL85,vehicle,3,0.9403293157445193
3,DL85,vehicle,4,0.9189285375344025
3,GOSDT,breast,0,0.9344444444444444
3,GOSDT,breast,1,0.9288888888888889
3,GOSDT,breast,2,0.9366666666666666
3,GOSDT,breast,3,0.9433333333333334
3,GOSDT,breast,4,0.9322222222222223
3,GOSDT,compas,0,0.6364291676151453
3,GOSDT,compas,1,0.6454939134770685
3,GOSDT,compas,2,0.6404642667447129
3,GOSDT,compas,3,0.6393044128646224
3,GOSDT,compas,4,0.6442636011837013
3,GOSDT,credit-g,0,0.6812124071234815
3,GOSDT,credit-g,1,0.6812124071234815
3,GOSDT,credit-g,2,0.6812124071234815
3,GOSDT,credit-g,3,0.6812124071234815
3,GOSDT,credit-g,4,0.6812124071234815
3,GOSDT,diabetes,0,0.7059199621122425
3,GOSDT,diabetes,1,0.7154629410371773
3,GOSDT,diabetes,2,0.6888231115320862
3,GOSDT,diabetes,3,0.6957849869760834
3,GOSDT,diabetes,4,0.6858868103244139
3,GOSDT,heart-statlog,0,0.5
3,GOSDT,heart-statlog,1,0.6697054698457223
3,GOSDT,heart-statlog,2,0.676367461430575
3,GOSDT,heart-statlog,3,0.7054698457223001
3,GOSDT,heart-statlog,4,0.7054698457223001
3,GOSDT,liver,0,0.6844668871212798
3,GOSDT,liver,1,0.6472875145231924
3,GOSDT,liver,2,0.6635981767807668
3,GOSDT,liver,3,0.6412994905710966
3,GOSDT,liver,4,0.6425954062025203
3,GOSDT,vehicle,0,0.8477270570371074
3,GOSDT,vehicle,1,0.8745610705134288
3,GOSDT,vehicle,2,0.9197114928347727
3,GOSDT,vehicle,3,0.8008920945240581
3,GOSDT,vehicle,4,0.8188051627597988
3,C45,breast,0,0.9461111111111111
3,C45,breast,1,0.9199999999999999
3,C45,breast,2,0.9322222222222223
3,C45,breast,3,0.95
3,C45,breast,4,0.9438888888888889
3,C45,compas,0,0.642160688541294
3,C45,compas,1,0.6399168590723336
3,C45,compas,2,0.655994926994244
3,C45,compas,3,0.6604500666644987
3,C45,compas,4,0.6513961605584642
3,C45,credit-g,0,0.6300860950583795
3,C45,credit-g,1,0.557789833706805
3,C45,credit-g,2,0.5702913079372568
3,C45,credit-g,3,0.5796968982191296
3,C45,credit-g,4,0.5574949876164642
3,C45,diabetes,0,0.7278711816244376
3,C45,diabetes,1,0.7057778830215486
3,C45,diabetes,2,0.7226852948141131
3,C45,diabetes,3,0.6430973241771253
3,C45,diabetes,4,0.6333885863130475
3,C45,heart-statlog,0,0.6942496493688639
3,C45,heart-statlog,1,0.7079242636746144
3,C45,heart-statlog,2,0.7331697054698457
3,C45,heart-statlog,3,0.6837307152875176
3,C45,heart-statlog,4,0.703015427769986
3,C45,liver,0,0.5521494324783269
3,C45,liver,1,0.6532755384752882
3,C45,liver,2,0.5372240593439985
3,C45,liver,3,0.5506747698632586
3,C45,liver,4,0.5521494324783269
3,C45,vehicle,0,0.8729951599126886
3,C45,vehicle,1,0.8683211540286608
3,C45,vehicle,2,0.8759846256050109
3,C45,vehicle,3,0.7873683211540287
3,C45,vehicle,4,0.8801366612887919
3,GATREE,breast,0,0.9494444444444444
3,GATREE,breast,1,0.9405555555555556
