depth,method,dataset,seed,mse
4,LLEGO,abalone,4,0.5947868682868559
3,LLEGO,cars,0,0.2199151484399457
3,LLEGO,cars,1,0.18549648476112834
3,LLEGO,cars,2,0.2152380841508331
3,LLEGO,cars,3,0.23619262773660157
3,LLEGO,cars,4,0.14277336118325373
4,LLEGO,cars,0,0.09174653011733806
4,LLEGO,cars,1,0.09606701719781936
4,LLEGO,cars,2,0.1304281301680372
4,LLEGO,cars,3,0.10088703984088064
4,LLEGO,cars,4,0.07425098680026228
3,LLEGO,cholesterol,0,1.462578779252439
3,LLEGO,cholesterol,1,1.0968556860648242
3,LLEGO,cholesterol,2,1.4061795303784839
3,LLEGO,cholesterol,3,1.321840324973631
3,LLEGO,cholesterol,4,1.3306957461857212
4,LLEGO,cholesterol,0,1.5097521465550998
4,LLEGO,cholesterol,1,1.1245482658058423
4,LLEGO,cholesterol,2,1.3844215828644106
4,LLEGO,cholesterol,3,1.247518051292865
4,LLEGO,cholesterol,4,1.3448259255865533
3,LLEGO,wage,0,1.0977544807876785
3,LLEGO,wage,1,0.982555011721623
3,LLEGO,wage,2,0.9574401923372025
3,LLEGO,wage,3,1.2818529084644958
3,LLEGO,wage,4,0.9076141005681635
4,LLEGO,wage,0,1.0681481815153209
4,LLEGO,wage,1,0.9678930072153168
4,LLEGO,wage,2,0.835399223666819
4,LLEGO,wage,3,1.3845016516899324
4,LLEGO,wage,4,1.0771199580406057
3,LLEGO,wine,0,0.8160267239166213
3,LLEGO,wine,1,0.8227459243600275
3,LLEGO,wine,2,0.811259415671437
3,LLEGO,wine,3,0.8234163052188025
3,LLEGO,wine,4,0.7990019863641263
4,LLEGO,wine,0,0.8276812575328962
4,LLEGO,wine,1,0.8658346880603603
4,LLEGO,wine,2,0.8116180389218793
4,LLEGO,wine,3,0.8371536957605945
4,LLEGO,wine,4,0.7974226573990134
